PARK,OWNER,lat,max_MW,lon
Priempad,IJzendoorn,52.305492,0.1,5.378874
Vlissingen,Indufor-1,51.477225,4.825,3.693641
Ossenkampweg,Ittersum,52.363708,5.7,5.551648
Zeebiestocht,Janssen-Maliepaard,52.47195,23,5.621127
,Johnson,52.211872,3,4.878005
Zijpe,Kennemerwind,52.742693,0.705,4.686317
Lepelaarpad,Kets-1,52.395324,3.85,5.499077
Klokbekertocht,Klokbekertocht-N,52.579479,9.9,5.581314
Kluutmolen,Kluutmolen,52.314793,20,5.335319
Eolienne,Knartocht-NW,52.400287,10,5.507515
Kneeshoek,Kneeshoek,52.838455,4.8,4.828232
Dodaarsweg,Koning,52.392428,18.78,5.384017
Opperhans,Kooistra-Wiek25%,53.130317,0.75,5.581324
Midlum,Kroon,53.18571,5.1,5.467493
Kubbeweg,Kubbeweg,52.458993,34,5.622849
De Beemden,Laaksche Vaart,52.8287,25,4.832024
Wp Venhuizen,Langedijk,52.655,0.9,5.209287
WF Liefting,Liefting,52.59707001,4.6,4.754129506
WP Basal Franeker,Lupus Ventus BV,52.517795,1.7,5.589025
,Maasland Windenergie BV,51.981662,3,4.048754
,Maasland Windenergie BV,51.982517,3,4.04461
Landtong,Maasland-Windenergie BV,51.983471,3,4.040525
,Maasmond-windenergie B.V.,51.981659,3,4.048753
,Maasmond-windenergie B.V.,51.982519,3,4.044608
,Maasmond-windenergie B.V.,51.98347,3,4.040532
Bosruiterweg,Mantingh,52.326081,3.6,5.432287
,Marburg bv,51.6919,1.75,4.587579
Weststad-III,Martensgroep,51.6739,15,4.834018
Bloesemlaan,Mc-Lean-Grr,52.333951,18.15,5.429688
Meermin,Meerwind,52.231869,0.25,4.641859
Polderjongen,Meerwind,52.246595,0.225,4.666029
Lelystad-Meeuwentocht,Meeuwentocht-1,52.404649,18,5.526596
Desire,Monkelbaan,53.033352,0.6,5.855948
,Nice Holding,51.6912,1.75,4.583791
WP Nieuwegein,Nieuwegein,52.02394768,10,5.127477625
,Noordertocht-1,52.483064,2,5.781987
,Noordertocht-2,52.485532,2,5.785273
,Noordertocht-3,52.48801,2,5.788576
,Noordertocht-4,52.490484,2,5.791876
Noordertocht,Noordertocht-ZW,52.559977,10.5,5.549134
WP Velsen-Noord,Noordpier Wind B.V.,52.47002,5.85,4.57309
OWEZ,Noordzeewind,52.630464,108,4.367657
Noordoostpolder (Noorder,NOP Agrowind,52.769785,52.5,5.602632
,NOP Agrowind,52.81839725,195,5.651781163
,Notos Wind B.V.,52.2342893,2.3,4.654220883
De Horn,NUON,52.736982,4.8,5.030003
Enkhuizen,NUON,52.684632,4,5.276534
Groettocht,NUON,52.790437,11.55,4.936659
H.v.d.Kroonenberg,NUON,52.587817,16.8,5.550973
Muiderhoek,NUON,52.37518,16.5,5.12385
Oudelandertocht,NUON,52.76177,19.8,4.966187
Oudendijk,NUON,52.605342,4.8,4.998129
Rachel Carson,NUON,52.297875,18,5.329071
Ulketocht,NUON,52.838424,6,4.906367
Waardtocht,NUON,52.808744,8.65,4.922572
Waterkaaptocht,NUON,52.886966,20,5.033815
Prinses Alexia,NUON/Vattenfal 1,52.18499,122.4,5.261311
Culemborg,NUON-1,51.935824,6,5.192106
De Bjirmen,NUON-1,53.218305,6,5.510944
De Mars,NUON-1,52.158779,6,6.191014
Geesterambacht,NUON-1,52.693153,0.675,4.736067
Hiddum-Houw,NUON-1,53.094638,5,5.386908
Medemblik,NUON-1,52.794333,2,5.11873
Waardpolder,NUON-1,52.802004,4.25,4.881269
,Nuon-10,51.93188,13.5,3.99856
Oerbiet,Oerbiet,53.193871,0.6,5.62705
Olstertocht,Olster-Tocht-1,52.468201,12,5.762203
Ooievaarsweg,Ooievaarsweg-O-vd Hoek,52.336513,15.2,5.435626
Oostwind,P-1,52.671355,1.2,4.931132
Prinses Amalia,Prinses Amalia,52.604583,120,4.240781
,Prodeon,52.122314,3,4.623704
,Prodeon,52.124673,3,4.619197
,Prodeon,52.124768,3,4.613354
,Prodeon,52.124363,3,4.607573
,Prodeon-1,52.125758,2,4.485729
,Prodeon-2,52.12699,2,4.487935
,Pure Energie & Raedthuys & Deventer Energie Cooperatie,52.23685875,2.3,6.198290761
,Pure Energie & Raedthuys & Deventer Energie Cooperatie,52.23690707,2.3,6.184586862
,Qurrent,51.71106707,3,4.398829012
,Qurrent,51.70853616,3,4.397304012
,Qurrent,51.70342404,3,4.397025466
,Qurrent,51.70612398,3,4.396795416
Griete,Raedthuys,51.354913,1.6,3.9047
Oldebroekertocht,Raedthuys,52.454357,13.8,5.731421
Treurenberg,Raedthuys,51.7174,2.3,5.288866
,Raedthuys & Deventer Energie Cooperatie,52.03464772,22.4,5.613950357
,Raedthuys Windenergie BV,51.934188,3,4.140247
,Raedthuys Windenergie BV,51.934353,3,4.135178
,Raedthuys Windenergie BV,51.935023,3,4.130181
,Raedthuys Windenergie BV,51.935693,3,4.124903
Rivierduintocht,Rivierduintocht-N,52.591721,12.25,5.605937
